,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
PCDHGA11,1,4,1,5,4,2,0,0
PCDHGA12,2,5,1,1,3,2,1,5
PCDHGA2,0,0,5,3,1,1,0,3
PCDHGA3,0,0,0,0,0,0,1,1
PCDHGA4,3,2,2,1,2,1,1,0
PCDHGA5,2,2,0,0,2,2,1,0
PCDHGA6,3,3,1,2,4,1,2,0
PCDHGA7,1,2,0,1,4,4,0,2
PCDHGA8,1,1,1,0,0,3,0,3
PCDHGA9,2,2,1,4,1,2,1,0
PCDHGB1,1,1,1,2,4,1,2,3
PCDHGB2,6,9,1,2,4,1,3,5
PCDHGB3,5,8,1,5,4,3,1,6
PCDHGB4,2,4,1,1,4,1,1,0
PCDHGB6,6,10,0,11,1,1,0,4
PCDHGB7,3,8,0,5,1,6,3,3
PCDHGC3,7,4,0,6,6,1,1,4
PCDHGC4,1,2,0,1,3,1,2,3
PCDHGC5,0,1,0,2,5,2,0,1
PCDP1,8,21,7,18,8,9,4,11
PCED1A,112,220,67,272,95,88,36,111
PCED1B,87,213,145,845,141,168,73,38
PCED1B-AS1,526,1099,501,3391,610,654,450,322
PCF11,938,1760,581,2804,862,811,534,741
PCGEM1,1,5,1,3,0,1,0,2
PCGF1,34,63,20,50,37,27,22,29
PCGF2,1,3,0,0,0,1,0,2
PCGF3,379,706,247,735,365,265,228,503
PCGF5,695,1239,439,2284,673,691,578,758
PCGF6,50,155,28,138,90,57,39,37
PCID2,203,504,159,810,276,224,127,156
PCIF1,129,223,48,210,133,104,69,116
PCK1,3,2,0,4,1,1,5,4
PCK2,198,403,89,390,341,160,119,273
PCLO,17,13,6,15,16,14,14,33
PCM1,1568,2920,1026,5172,1695,1586,1066,1127
PCMT1,709,1515,206,1539,829,542,538,807
PCMTD1,355,785,184,1231,366,320,170,309
PCMTD2,425,866,278,1462,529,340,290,453
PCNA,294,794,200,1615,938,457,210,125
PCNP,656,1345,388,2068,751,772,364,724
PCNT,648,1234,455,2274,704,600,433,460
PCNX,922,1876,476,1663,817,739,595,684
PCNXL2,153,232,118,461,134,228,117,120
PCNXL3,132,223,73,273,114,88,59,84
PCNXL4,181,385,84,521,223,209,122,167
PCOLCE,15,31,13,42,12,16,7,18
PCOLCE-AS1,4,3,2,2,0,0,2,3
PCOLCE2,6,9,1,13,17,2,7,14
PCP2,1,0,1,2,1,0,0,0
PCP4L1,1,2,1,5,1,0,2,4
PCSK1,4,9,2,5,9,4,4,6
PCSK1N,2,2,4,19,2,1,6,2
PCSK2,4,7,4,13,9,3,2,17
PCSK4,2,2,1,5,2,4,1,3
PCSK5,167,326,83,368,115,160,52,169
PCSK6,13,14,7,28,20,13,4,27
PCSK7,766,1174,621,1675,607,592,449,524
PCSK9,4,7,1,1,1,3,0,5
PCTP,104,208,32,171,87,88,113,183
PCYOX1,228,548,131,789,241,187,111,190
PCYOX1L,107,149,74,253,107,146,67,118
PCYT1A,581,1247,258,1313,692,544,446,600
PCYT1B,21,20,13,52,22,30,6,26
PCYT2,119,186,54,302,142,91,56,103
PDAP1,528,1056,309,1598,704,487,399,642
PDCD1,15,33,6,50,17,17,13,7
PDCD10,394,889,199,1378,465,498,413,487
PDCD11,335,699,206,1311,628,436,232,244
PDCD1LG2,8,7,1,8,5,8,10,7
PDCD2,445,871,242,1188,599,472,247,412
PDCD2L,22,68,16,101,72,35,19,18
PDCD4,757,1613,563,2873,898,732,331,611
PDCD4-AS1,19,13,9,50,15,1,12,16
PDCD5,288,784,212,1187,605,400,180,308
PDCD6,509,1043,231,1165,541,406,279,611
PDCD6IP,973,1831,459,2103,1312,836,466,1201
PDCD7,205,565,145,956,327,318,147,147
PDCL,117,264,88,327,147,117,78,133
PDCL3,142,266,62,416,197,149,81,130
PDDC1,80,204,67,364,93,68,43,106
PDE10A,11,5,0,8,6,2,0,11
PDE11A,12,12,4,26,12,10,10,26
PDE12,176,430,125,542,288,226,121,127
PDE1A,7,4,2,7,2,0,3,10
PDE1B,64,67,26,88,25,30,38,49
PDE1C,10,9,5,9,5,4,3,8
PDE2A,7,7,0,7,2,9,7,7
PDE3A,8,10,4,29,18,13,5,23
PDE3B,253,500,218,1348,196,265,261,179
PDE4A,117,170,51,169,83,72,40,131
PDE4B,241,607,292,1637,520,446,214,623
PDE4C,9,11,6,17,8,8,2,20
PDE4D,564,588,282,1256,223,492,158,343
PDE4DIP,424,1151,346,1585,810,484,303,303
PDE5A,130,107,46,298,67,100,22,147
PDE6A,8,15,3,11,5,3,5,19
PDE6B,33,63,28,88,42,26,21,33
PDE6C,2,6,3,8,2,2,0,1
PDE6D,164,314,58,365,197,154,63,160
PDE6G,17,34,1,30,9,30,10,31
PDE6H,6,1,2,3,4,3,0,0
PDE7A,333,751,289,1074,443,710,245,302
PDE7B,14,9,7,10,8,4,5,16
PDE8A,160,231,70,242,102,87,83,166
PDE8B,11,27,1,33,10,17,11,31
PDE9A,16,15,23,76,9,49,12,7
PDF,6,14,1,23,19,6,3,6
PDGFA,43,31,28,118,50,81,11,40
PDGFB,3,13,5,32,13,10,1,8
PDGFC,47,82,3,76,50,30,17,147
PDGFD,66,146,45,158,49,75,12,15
PDGFRA,10,7,2,15,8,3,5,26
PDGFRB,114,95,52,128,47,80,29,13
PDGFRL,4,5,1,0,1,1,1,4
PDHA1,343,836,160,1058,652,364,212,359
PDHA2,0,0,1,0,0,0,1,2
PDHB,298,711,142,725,602,306,208,365
PDHX,221,385,89,514,269,179,108,140
PDIA3,3177,4691,1435,7604,4048,3157,1355,2405
PDIA4,1677,5849,1252,5819,6239,2128,612,682
PDIA5,151,367,86,341,440,174,91,102
PDIA6,1529,4205,958,5182,4727,1781,578,1007
PDIK1L,100,250,53,320,137,97,45,77
PDILT,1,0,0,1,1,1,1,3
PDK1,215,539,511,1034,495,225,163,192
PDK2,23,38,10,37,30,31,15,21
PDK3,75,140,41,181,64,53,37,88
PDK4,134,338,13,79,96,128,102,165
PDLIM1,165,404,158,596,439,174,63,148
PDLIM2,219,404,106,415,133,148,141,243
PDLIM3,17,25,11,27,20,2,8,20
PDLIM4,2,2,1,2,0,1,0,5
PDLIM5,420,698,120,824,302,238,214,508
PDLIM7,121,210,36,129,77,39,68,104
PDP1,347,725,141,814,302,189,146,471
PDP2,35,56,24,95,37,25,15,15
PDPK1,372,745,204,868,405,418,243,398
PDPN,4,4,1,6,1,0,0,11
PDPR,98,163,61,277,259,210,139,185
PDRG1,112,246,68,323,121,112,55,133
PDS5A,1028,2270,682,4168,1515,1071,662,971
PDS5B,648,1144,366,2033,719,598,366,543
PDSS1,30,66,10,100,48,66,32,70
PDSS2,82,200,40,269,148,96,52,104
PDX1,0,1,1,2,5,2,1,1
PDXDC1,490,1101,204,1262,664,507,343,478
PDXDC2P,208,373,129,427,169,191,124,124
PDXK,528,1595,273,1425,901,566,370,954
PDXP,2,2,0,5,1,1,0,1
PDYN,3,2,0,1,3,1,1,0
PDZD11,89,188,42,280,152,106,32,71
PDZD2,25,30,10,80,35,21,15,46
PDZD3,3,3,4,7,6,5,3,2
PDZD4,205,328,59,247,82,168,18,35
PDZD7,16,13,12,25,12,10,10,21
PDZD8,397,513,152,1164,314,334,304,510
PDZD9,0,0,2,6,2,3,3,1
PDZK1,7,8,0,16,9,10,2,2
PDZK1IP1,1,1,2,13,5,4,5,17
PDZRN3,4,4,0,5,3,0,1,3
PDZRN4,2,6,2,4,11,1,4,8
PEA15,587,868,133,1063,454,391,200,1083
PEAK1,305,433,161,550,222,312,140,227
PEAR1,24,13,10,55,26,14,3,23
PEBP1,681,1737,629,2810,1390,1179,450,678
PEBP4,2,4,3,4,5,1,0,3
PECR,50,166,36,206,61,22,41,59
PEF1,179,405,73,491,224,181,131,188
PEG10,24,37,37,34,10,6,4,16
PEG3,11,7,3,11,10,2,10,14
PELI1,668,779,391,683,427,317,228,1017
PELI2,376,568,93,378,187,105,163,485
PELI3,37,47,17,95,19,22,20,48
PELO,81,205,30,158,120,104,56,62
PELP1,181,361,127,639,268,222,94,121
PEMT,61,117,44,91,83,42,36,51
PENK,3,1,2,0,5,3,4,6
PEPD,598,906,135,810,513,353,200,524
PER1,577,309,165,325,54,178,108,920
PER2,115,173,76,227,117,134,68,140
PER3,49,80,31,82,65,33,15,68
PERP,31,73,30,198,110,16,9,15
PES1,161,428,89,542,327,194,125,194
PET100,73,136,43,165,58,43,40,73
PET112,91,195,45,262,197,107,61,120
PET117,43,95,26,108,41,29,13,34
PEX1,211,392,196,725,273,228,104,138
PEX10,19,18,7,21,19,19,11,24
PEX11A,16,31,15,38,29,12,17,11
PEX11B,73,204,38,239,140,96,67,73
PEX11G,8,12,3,20,5,2,7,10
PEX12,7,35,3,45,25,14,11,11
PEX13,83,221,51,234,118,100,46,55
PEX14,112,183,32,182,85,65,50,59
PEX16,67,131,29,166,89,59,45,67
PEX19,155,328,74,355,194,140,95,159
PEX2,204,520,124,449,359,166,137,237
PEX26,352,552,251,1056,335,276,195,346
PEX3,41,102,29,145,79,59,17,16
PEX5,83,182,46,151,89,63,33,65
PEX5L,18,9,5,28,11,13,11,10
PEX6,138,319,49,525,154,188,47,33
PEX7,29,51,11,43,27,27,18,32
PF4,227,147,54,571,204,477,20,349
PF4V1,64,36,5,152,65,133,10,79
PFAS,54,127,55,177,167,89,52,62
PFDN1,307,504,142,810,263,215,194,293
PFDN2,267,582,124,866,343,291,188,299
PFDN4,142,278,86,482,154,112,67,128
PFDN5,3292,6102,1700,8243,2426,2361,2093,5611
PFDN6,123,241,63,402,161,121,39,110
PFKFB1,0,3,1,2,3,2,3,3
PFKFB2,42,64,26,70,45,38,59,113
PFKFB3,440,306,83,336,123,106,268,1188
PFKFB4,158,221,23,196,94,53,121,206
PFKL,604,1127,259,1459,909,549,399,755
PFKM,57,131,27,165,149,68,31,38
PFKP,583,956,266,1715,1207,680,310,395
PFN1,2268,4859,1329,6579,2671,2273,1395,2990
PFN2,13,28,10,46,4,21,15,21
PFN4,2,4,0,5,3,2,0,3
PGA3,9,22,2,16,11,20,21,14
PGA4,1,1,0,0,4,0,3,1
PGA5,1,3,0,5,2,3,2,2
PGAM1,567,1035,150,841,536,383,518,732
PGAM4,179,371,42,283,254,201,191,221
PGAM5,66,148,40,264,128,75,48,69
PGAP1,89,45,31,192,46,106,36,34
PGAP2,85,146,60,225,130,81,45,40
PGAP3,56,84,33,127,56,77,47,49
PGBD1,11,40,16,56,30,10,16,12
PGBD2,31,139,19,154,54,38,20,25
PGBD4,25,47,25,99,35,17,8,18
PGBD5,3,4,1,2,2,0,1,5
PGC,1,0,0,1,1,1,1,1
PGD,2239,4014,477,2140,1581,957,1397,2531
PGF,6,18,1,13,7,4,4,10
PGGT1B,197,358,87,387,240,150,107,198
PGK1,2222,4325,1022,5139,3369,2235,1961,3725
PGK2,1,4,0,6,0,2,1,1
PGLS,401,783,186,972,275,267,280,782
PGLYRP1,3,144,1,14,12,1,35,8
PGLYRP2,11,13,4,16,1,5,7,8
PGLYRP4,3,3,0,3,1,2,1,1
PGM1,160,399,112,343,236,111,101,211
PGM2,243,648,108,544,358,274,186,293
PGM2L1,78,164,55,354,117,110,77,54
PGM3,95,307,126,371,300,105,55,73
PGM5,12,14,2,23,15,11,11,16
PGM5-AS1,1,1,0,0,3,2,2,2
PGP,267,383,109,588,213,146,112,286
PGPEP1,307,626,267,935,261,178,204,322
PGR,4,5,3,10,10,3,8,17
PGRMC1,325,473,119,780,316,305,109,351
PGRMC2,437,1117,257,1491,709,391,120,210
PGS1,131,243,73,298,132,96,133,178
PHACTR1,97,123,64,212,119,73,81,284
PHACTR2,825,1111,235,1684,516,741,533,764
PHACTR3,7,5,3,18,14,3,1,12
PHACTR4,448,687,195,1050,428,398,221,321
PHAX,223,589,167,919,391,291,156,144
PHB,133,218,51,414,226,151,94,108
PHB2,477,1221,376,1763,1004,542,445,839
PHC1,56,68,59,277,77,64,26,45
PHC2,596,982,163,646,210,293,268,778
PHC3,674,1261,518,1745,774,640,317,405
PHEX,7,12,5,12,8,10,3,12
PHF1,250,432,223,716,239,230,114,138
PHF10,255,530,231,1120,329,260,120,186
PHF11,797,976,319,1360,548,719,445,480
PHF12,512,987,365,1188,583,441,267,393
PHF13,41,131,33,257,66,56,34,67
PHF14,384,765,230,1338,461,531,283,384
PHF19,279,566,183,989,471,244,139,164
PHF2,368,668,190,967,424,359,228,421
PHF20,590,1218,287,1906,648,529,345,528
PHF20L1,783,1877,461,2469,773,869,602,997
PHF21A,882,1416,374,1641,623,496,461,919
PHF21B,1,2,0,3,8,0,0,2
PHF23,135,553,51,541,246,162,123,124
PHF3,1347,2300,783,3908,1171,1238,779,1094
PHF5A,136,304,70,412,182,179,81,167
PHF6,186,607,117,1109,467,335,159,143
PHF7,42,60,34,94,24,34,28,47
PHF8,256,509,168,694,361,284,187,232
PHGDH,38,225,36,414,308,76,51,9
PHIP,1295,2364,730,3622,1414,1325,775,1112
PHKA1,3,15,5,30,26,8,3,2
PHKA1-AS1,0,1,0,0,0,1,0,2
PHKA2,200,416,121,439,245,179,98,234
PHKA2-AS1,2,3,1,8,2,1,1,2
PHKB,521,1038,276,1167,728,428,260,656
PHKG1,3,4,7,9,4,3,2,3
PHKG2,233,382,86,438,215,139,112,252
PHLDA1,44,46,32,117,18,45,11,65
PHLDA2,18,12,2,30,11,8,1,19
PHLDA3,8,7,3,21,16,12,5,0
PHLDB1,23,26,6,28,26,20,18,26
PHLDB2,62,117,25,196,31,90,20,29
PHLDB3,27,45,22,83,22,31,14,25
PHLPP1,41,63,22,81,35,29,22,48
PHLPP2,73,115,65,231,83,94,51,91
PHOSPHO1,10,13,4,23,7,7,131,12
PHOSPHO2,6,17,12,35,5,4,3,7
PHOX2A,2,0,0,1,0,0,1,1
PHOX2B,3,1,0,5,2,1,3,5
PHPT1,274,619,113,780,396,357,180,401
PHRF1,210,669,155,825,418,335,195,237
PHTF1,117,267,63,332,195,116,79,80
PHTF2,247,536,172,680,304,342,227,297
PHYH,57,72,37,148,59,49,24,90
PHYHD1,9,15,5,24,17,14,4,6
PHYHIP,1,2,0,1,2,1,0,6
PHYKPL,437,718,297,888,367,367,249,534
PI15,4,3,2,2,3,1,2,9
PI16,4,22,8,36,7,13,13,3
PI4K2A,212,313,88,383,206,129,95,208
PI4K2B,164,371,91,414,484,294,161,191
PI4KA,752,1147,326,1143,751,605,401,787
PI4KB,314,534,154,534,367,269,170,259
PIANP,3,3,1,6,5,1,0,2
PIAS1,376,784,176,948,445,334,207,273
PIAS2,125,279,119,420,158,130,81,173
PIAS3,77,105,32,85,63,40,39,63
PIAS4,118,290,68,400,135,126,64,96
PIBF1,170,311,114,563,165,175,147,143
PICALM,1809,3900,566,2947,1704,1131,1212,2507
PICK1,47,91,36,152,75,71,38,67
PID1,41,63,9,42,14,19,14,198
PIDD,69,84,52,217,63,47,31,67
PIEZO1,502,772,194,1233,623,385,260,565
PIEZO2,8,18,5,28,15,5,2,16
PIF1,43,61,35,143,79,44,25,20
PIFO,8,11,0,10,6,2,5,9
PIGA,96,116,58,177,55,41,37,126
PIGB,40,88,25,76,43,41,29,45
PIGC,198,382,134,629,241,184,251,212
PIGF,38,83,20,90,61,40,18,57
PIGG,176,368,113,389,234,202,115,177
PIGH,88,141,54,214,124,91,55,64
PIGK,175,379,134,673,317,215,93,100
PIGL,59,112,49,156,62,37,48,49
PIGM,121,274,63,260,140,128,58,93
PIGN,66,192,45,218,197,111,61,103
PIGO,77,153,59,155,119,77,44,62
PIGP,49,115,38,174,78,96,42,60
PIGQ,57,98,31,140,50,42,39,74
PIGR,7,19,6,14,1,5,7,6
PIGS,396,679,149,762,426,254,223,409
PIGT,455,766,203,835,519,319,241,356
PIGU,35,105,19,167,85,59,27,36
PIGV,30,92,18,98,47,34,25,26
PIGW,34,72,31,117,58,48,32,35
PIGX,176,371,86,558,178,142,104,201
PIGZ,10,16,10,18,12,6,2,11
PIH1D1,271,610,152,737,363,279,170,303
PIH1D2,1,7,2,4,2,2,1,3
PIH1D3,0,0,0,3,0,1,0,1
PIK3AP1,2281,3713,667,2256,1751,1097,1209,3065
PIK3C2A,280,672,179,769,400,338,162,245
PIK3C2B,72,174,87,212,108,157,46,51
PIK3C2G,1,3,0,4,1,3,2,4
PIK3C3,403,795,257,1043,427,359,219,330
PIK3CA,296,696,236,1077,338,278,250,289
PIK3CB,290,668,107,646,334,318,181,371
PIK3CD,866,1853,375,2027,864,877,699,910
PIK3CG,410,1264,195,1046,870,467,283,486
PIK3IP1,847,1248,1002,2935,582,900,448,477
PIK3R1,1834,2235,972,5313,1181,1407,1060,1189
PIK3R2,116,256,69,329,174,109,80,138
PIK3R3,63,111,24,116,74,52,12,43
PIK3R4,117,398,63,359,280,158,97,82
PIK3R5,696,1163,259,1133,480,480,288,546
PIK3R6,40,68,5,45,40,11,15,41
PIKFYVE,713,1279,474,1695,699,517,393,739
PILRA,1033,1346,136,569,437,203,319,1415
PILRB,31,65,31,79,36,44,12,50
PIM1,2390,2606,1057,6006,2264,1915,1709,4476
PIM2,313,2220,391,2879,2136,851,400,272
PIM3,840,467,141,637,297,248,252,1475
PIN1,335,609,154,894,360,259,164,383
PIN4,111,237,95,306,112,109,100,145
PINK1,47,93,23,97,48,47,110,58
PINK1-AS,28,80,15,97,39,35,28,21
PINLYP,21,58,20,93,55,4,17,40
PINX1,59,163,38,248,109,59,36,43
PIP4K2A,1950,3192,1055,5462,1365,1808,1896,1373
PIP4K2B,424,762,253,1038,486,551,227,378
PIP4K2C,139,186,55,220,151,115,64,78
PIP5K1A,118,333,73,319,256,194,105,146
PIP5K1B,33,123,28,97,107,22,26,36
PIP5K1C,124,165,43,181,86,87,58,127
PIP5KL1,5,14,4,19,5,5,3,6
PIPOX,6,10,6,10,9,2,10,17
PIR,8,16,2,25,21,11,1,3
PIRT,3,1,1,3,1,3,1,5
PISD,246,478,52,337,237,170,119,193
PITHD1,256,414,176,916,328,284,694,325
PITPNA,449,897,198,923,572,490,412,671
PITPNA-AS1,1,2,2,4,1,4,0,0
PITPNB,403,981,247,1472,700,543,261,358
PITPNC1,397,747,225,1247,371,245,165,257
PITPNM1,293,534,119,598,272,173,140,330
PITPNM2,69,73,80,222,52,103,43,59
PITPNM3,6,5,0,5,8,2,4,6
PITRM1,334,637,207,695,474,293,161,315
PITRM1-AS1,11,19,11,44,17,16,12,10
PITX1,0,1,2,12,16,7,0,0
PITX2,3,4,1,7,3,3,5,9
PIWIL1,4,7,2,6,1,3,2,4
PIWIL2,10,10,6,13,5,2,3,9
PIWIL3,2,2,0,7,1,3,3,3
PIWIL4,85,76,8,47,44,20,37,62
PJA1,82,188,67,360,135,69,38,72
PJA2,1147,2531,584,3101,1455,997,630,1183
PKD1,145,223,95,369,145,192,82,120
PKD1L1,10,12,5,12,9,9,2,12
PKD1L3,6,10,4,15,2,3,4,9
PKD2,94,185,53,262,152,100,88,94
PKD2L1,12,11,0,5,4,1,2,4
PKD2L2,6,12,10,18,0,9,3,9
PKDCC,0,0,0,2,1,1,0,1
PKDREJ,12,15,2,11,6,1,6,5
PKHD1,12,13,1,14,3,11,9,23
PKHD1L1,39,61,23,141,52,43,5,33
PKIA,21,76,63,430,69,69,44,30
PKIB,0,8,0,19,1,3,8,14
PKIG,34,87,60,158,48,27,19,43
PKM,5280,10938,1666,9920,5870,4228,4265,6653
PKMYT1,7,10,8,21,15,11,1,2
PKN1,522,844,181,796,557,393,257,507
PKN2,444,623,203,906,274,332,239,390
PKN3,12,15,6,43,23,18,7,5
PKNOX1,99,228,63,425,133,168,71,124
PKNOX2,2,1,0,7,5,3,1,3
PKP1,0,3,2,1,4,1,0,4
PKP2,5,10,9,35,22,5,5,15
PKP3,0,0,0,3,1,1,2,0
PKP4,120,311,78,405,191,160,65,114
PLA1A,3,4,4,7,5,3,2,6
PLA2G10,0,8,2,3,1,2,5,6
PLA2G12A,112,204,82,418,157,113,52,127
PLA2G15,163,216,50,202,114,54,72,121
PLA2G16,237,384,103,454,152,192,47,102
PLA2G1B,3,0,1,4,0,0,0,0
PLA2G2A,1,0,0,4,1,0,0,2
PLA2G2C,5,4,0,7,5,2,1,4
PLA2G2D,3,1,3,9,4,3,1,3
PLA2G2F,5,2,1,5,5,0,1,1
PLA2G3,1,3,1,2,0,0,3,4
PLA2G4A,29,104,9,59,46,44,22,52
PLA2G4B,1,4,3,6,1,0,2,2
PLA2G4C,77,99,21,40,46,25,15,24
PLA2G4D,7,11,2,3,3,3,4,6
PLA2G4E,4,1,1,13,1,6,3,6
PLA2G4F,2,1,0,6,3,0,0,1
PLA2G6,42,57,32,73,42,34,24,14
PLA2G7,136,120,7,58,47,18,26,420
PLA2R1,7,6,2,16,4,5,2,9
PLAA,238,441,128,477,339,236,160,225
PLAC1,1,5,0,0,0,2,1,0
PLAC4,0,1,1,1,3,2,0,1
PLAC8,4366,5289,1245,5230,3513,2382,1513,2946
PLAC8L1,0,1,0,3,1,0,2,0
PLAC9,3,1,5,20,2,2,2,2
PLAG1,50,86,70,255,82,50,29,29
PLAGL1,86,141,23,101,87,54,42,98
PLAGL2,262,526,50,364,232,155,182,340
PLAT,13,10,4,31,14,8,11,22
PLAU,8,7,1,8,4,7,4,21
PLAUR,682,850,152,794,276,235,292,1235
PLB1,120,192,16,83,148,32,104,252
PLBD1,5858,12435,1196,4451,3080,2611,2247,4261
PLBD2,88,104,17,66,90,37,43,63
PLCB1,145,216,52,263,50,73,17,175
PLCB2,1297,2424,491,2319,946,1055,768,1794
PLCB2-AS1,0,3,1,1,0,1,1,1
PLCB3,62,145,23,106,55,70,38,99
PLCB4,6,7,1,26,10,3,2,5
PLCD1,91,133,29,151,93,51,46,59
PLCD3,31,53,9,70,13,6,10,32
PLCD4,12,26,9,48,16,18,9,17
PLCE1,41,86,45,95,59,25,29,36
PLCE1-AS1,2,1,0,1,1,1,0,2
PLCG1,245,453,202,1045,340,448,214,99
PLCG2,509,1276,278,832,1321,405,268,373
PLCH1,3,4,2,17,11,5,3,12
PLCH1-AS1,1,1,0,1,1,0,0,2
PLCH2,28,54,67,89,22,56,23,13
PLCL1,62,145,111,400,63,106,44,109
PLCL2,698,1532,465,2469,867,668,484,663
PLCXD1,112,148,73,235,78,75,39,54
PLCXD2,16,14,12,20,31,7,2,9
PLCXD2-AS1,8,5,2,8,2,1,3,8
PLCXD3,7,10,2,4,4,0,3,7
PLCZ1,2,2,0,1,1,1,1,1
PLD1,116,187,22,111,106,44,69,70
PLD2,66,94,32,78,51,28,26,67
PLD3,395,660,117,518,335,177,143,428
PLD4,34,39,12,61,32,34,9,38
PLD5,13,20,6,14,14,8,7,19
PLD6,11,28,26,81,37,16,41,12
PLEC,1895,3164,695,2888,1499,1185,904,1846
PLEK,5295,7791,1419,11063,4502,3997,1953,6960
PLEK2,2,5,0,23,3,4,143,1
PLEKHA1,230,467,242,881,182,249,98,153
PLEKHA2,988,1682,597,2398,1059,975,530,1065
PLEKHA3,352,591,185,896,342,287,237,360
PLEKHA4,6,17,4,29,10,6,4,8
PLEKHA5,155,218,53,375,78,81,42,105
PLEKHA6,8,16,3,15,9,10,8,14
PLEKHA7,4,13,1,26,26,14,9,17
PLEKHA8,92,249,69,307,159,87,49,86
PLEKHB1,19,65,43,251,44,52,29,9
PLEKHB2,770,1325,229,1570,748,674,562,1168
PLEKHD1,9,8,1,3,12,4,8,7
PLEKHF1,46,190,19,208,59,88,34,16
PLEKHF2,434,687,245,841,359,325,184,461
PLEKHG1,71,112,128,178,65,20,21,53
PLEKHG2,129,169,71,248,149,99,95,142
PLEKHG3,244,452,93,372,206,240,91,141
PLEKHG4,16,23,10,55,23,39,10,8
PLEKHG4B,8,4,2,12,5,2,8,2
PLEKHG5,6,9,2,31,7,10,6,8
PLEKHG6,3,4,0,8,4,2,4,7
PLEKHG7,2,6,2,14,2,6,5,6
PLEKHH1,17,13,5,26,13,12,6,5
PLEKHH2,137,70,117,116,400,175,52,36
PLEKHH3,14,38,11,29,16,7,6,19
PLEKHJ1,356,725,154,861,368,229,207,412
PLEKHM1,351,678,139,596,328,289,163,340
PLEKHM2,534,869,233,1035,477,338,268,625
PLEKHM3,63,90,16,70,44,40,36,60
PLEKHN1,11,16,2,18,9,7,4,5
PLEKHO1,1585,2519,471,2597,938,919,589,2869
PLEKHO2,327,736,53,544,311,347,259,420
PLEKHS1,8,9,1,8,2,1,2,8
PLET1,0,1,0,2,3,1,1,2
PLG,8,25,12,32,10,13,9,11
PLGLB1,12,15,15,55,16,15,6,5
PLGLB2,6,16,3,47,17,12,6,9
PLGRKT,83,148,52,291,122,94,75,92
PLIN1,4,9,2,9,4,4,4,14
PLIN2,687,1064,230,1067,615,458,229,439
PLIN3,580,920,137,863,435,319,420,774
PLIN4,4,4,3,11,7,3,8,9
PLIN5,14,24,8,31,8,5,25,29
PLK1,30,96,19,168,137,49,34,9
PLK1S1,157,273,93,383,185,115,76,104
PLK2,42,56,34,227,44,97,25,136
PLK3,162,163,58,247,80,116,128,313
PLK4,37,125,29,220,174,50,22,16
PLLP,1,2,3,3,0,8,1,1
PLN,10,8,5,17,4,6,2,13
PLOD1,289,571,95,529,361,227,112,307
PLOD2,10,9,2,42,23,17,8,24
PLOD3,213,404,100,568,281,176,112,218
PLP1,1,2,0,1,0,1,1,0
PLP2,95,197,37,205,157,74,118,121
PLRG1,213,569,139,766,411,247,164,214
PLS1,4,23,4,50,30,16,3,7
PLS3,5,7,0,28,4,6,2,12
PLSCR1,1594,1691,171,986,1075,1318,762,1010
PLSCR2,2,5,2,3,0,5,2,10
PLSCR4,4,4,1,10,5,4,5,5
PLSCR5,1,4,1,2,1,1,0,3
PLTP,10,14,4,9,12,6,5,3
PLVAP,11,8,1,1,6,5,29,13
PLXDC1,31,27,118,199,70,146,24,38
PLXDC2,1481,2459,320,1390,913,804,516,2292
PLXNA1,40,86,25,138,53,58,12,15
PLXNA2,38,72,14,65,30,29,18,51
PLXNA3,44,73,36,155,50,36,16,20
PLXNA4,43,37,25,58,31,25,26,24
PLXNB1,19,15,5,31,17,8,1,11
PLXNB2,740,1067,88,675,486,263,312,1208
PLXNC1,1974,3074,359,1947,1298,535,790,1728
PLXND1,430,615,60,433,278,306,158,620
PM20D1,1,14,5,8,6,2,2,3
PM20D2,106,331,96,702,322,180,75,75
PMAIP1,450,305,284,881,176,274,124,463
PMEL,3,12,7,24,6,5,7,4
PMEPA1,19,94,39,174,64,13,17,22
PMF1,124,257,85,262,123,93,59,164
PMFBP1,11,12,3,20,15,2,4,5
PML,541,515,128,570,368,425,317,338
PMM1,121,203,62,293,138,98,59,109
PMM2,97,272,93,294,240,131,77,81
PMP2,4,4,1,5,2,3,1,4
PMP22,6,0,1,10,6,2,2,29
PMPCA,237,458,118,599,338,234,142,192
PMPCB,397,825,263,1164,562,346,211,456
PMS1,139,304,121,597,242,148,83,90
PMS2,139,326,106,498,226,154,124,128
PMVK,182,500,104,647,323,208,136,274
PNISR,2118,3390,1846,7466,1580,1735,981,1860
PNKD,397,752,152,799,325,230,220,417
PNKP,125,250,89,316,184,121,79,148
PNLDC1,1,1,0,2,1,2,2,4
PNLIP,0,0,2,4,0,1,0,3
PNLIPRP1,3,3,2,4,2,3,1,5
PNLIPRP3,0,1,2,1,2,0,1,3
PNMA1,121,221,49,381,183,101,50,86
PNMA2,7,6,0,8,6,4,6,5
PNMA3,3,5,16,56,9,5,38,10
PNMA5,2,2,3,6,4,2,1,1
PNMA6C,1,3,1,1,2,0,0,1
PNMAL1,0,5,2,13,2,1,5,3
PNMAL2,3,1,0,6,2,10,0,2
PNMT,4,8,2,10,2,3,2,0
PNN,1129,1857,1084,4129,1191,1118,619,910
